|Order Id|Date|Meal Id|Company Id|Date of Meal|Participants|Meal Price|Type of Meal|Heroes Adjustment|Meal Squared|Meal Squared apply|Meal Squared func
0|839FKFW2LLX4LMBB|2016-05-27|INBUX904GIHI8YBD|LJKS5NK6788CYMUU|2016-05-31 07:00:00+02:00|['David Bishop']|469.0|Breakfast|False|219961.0|219961.0|219961.0
1|97OX39BGVMHODLJM|2018-09-27|J0MMOOPP709DIDIE|LJKS5NK6788CYMUU|2018-10-01 20:00:00+02:00|['David Bishop']|22.0|Dinner|False|484.0|484.0|484.0
2|041ORQM5OIHTIU6L|2014-08-24|E4UJLQNCI16UX5CS|LJKS5NK6788CYMUU|2014-08-23 14:00:00+02:00|['Karen Stansell']|314.0|Lunch|False|98596.0|98596.0|98596.0
3|YT796QI18WNGZ7ZJ|2014-04-12|C9SDFHF7553BE247|LJKS5NK6788CYMUU|2014-04-07 21:00:00+02:00|['Addie Patino']|438.0|Dinner|False|191844.0|191844.0|191844.0
4|6YLROQT27B6HRF4E|2015-07-28|48EQXS6IHYNZDDZ5|LJKS5NK6788CYMUU|2015-07-27 14:00:00+02:00|['Addie Patino' 'Susan Guerrero']|690.0|Lunch|False|476100.0|476100.0|476100.0
5|AT0R4DFYYAFOC88Q|2014-07-21|W48JPR1UYWJ18NC6|LJKS5NK6788CYMUU|2014-07-17 20:00:00+02:00|['David Bishop' 'Susan Guerrero' 'Karen Stansell']|181.0|Dinner|False|32761.0|32761.0|32761.0
6|2DDN2LHS7G85GKPQ|2014-04-29|1MKLAKBOE3SP7YUL|LJKS5NK6788CYMUU|2014-04-30 21:00:00+02:00|['Susan Guerrero' 'David Bishop']|14.0|Dinner|False|196.0|196.0|196.0
7|FM608JK1N01BPUQN|2014-05-08|E8WJZ1FOSKZD2MJN|36MFTZOYMTAJP1RK|2014-05-07 09:00:00+02:00|['Amanda Knowles' 'Cheryl Feaster' 'Ginger Hoagland' 'Michael White']|320.0|Breakfast|False|102400.0|102400.0|102400.0
8|CK331XXNIBQT81QL|2015-05-23|CTZSFFKQTY7SBZ4J|36MFTZOYMTAJP1RK|2015-05-18 13:00:00+02:00|['Cheryl Feaster' 'Amanda Knowles' 'Ginger Hoagland']|697.0|Lunch|False|485809.0|485809.0|485809.0
9|FESGKOQN2OZZWXY3|2016-01-10|US0NQYNNHS1SQJ4S|36MFTZOYMTAJP1RK|2016-01-14 22:00:00+01:00|['Glenn Gould' 'Amanda Knowles' 'Ginger Hoagland' 'Michael White']|451.0|Dinner|False|203401.0|203401.0|203401.0
10|YITOTLOF0MWZ0VYX|2016-10-03|RGYX8772307H78ON|36MFTZOYMTAJP1RK|2016-10-01 22:00:00+02:00|['Ginger Hoagland' 'Amanda Knowles' 'Michael White']|263.0|Dinner|False|69169.0|69169.0|69169.0
11|8RIGCF74GUEQHQEE|2018-07-23|5XK0KTFTD6OAP9ZP|36MFTZOYMTAJP1RK|2018-07-27 08:00:00+02:00|['Amanda Knowles']|210.0|Breakfast|False|44100.0|44100.0|44100.0
12|TH60C9D8TPYS7DGG|2016-12-15|KDSMP2VJ22HNEPYF|36MFTZOYMTAJP1RK|2016-12-13 08:00:00+01:00|['Cheryl Feaster' 'Bret Adams' 'Ginger Hoagland']|755.0|Breakfast|False|570025.0|570025.0|570025.0
13|W1Y086SRAVUZU1AL|2017-09-17|8IUOYVS031QPROUG|36MFTZOYMTAJP1RK|2017-09-14 13:00:00+02:00|['Bret Adams']|469.0|Lunch|False|219961.0|219961.0|219961.0
14|WKB58Q8BHLOFQAB5|2016-08-31|E2K2TQUMENXSI9RP|36MFTZOYMTAJP1RK|2016-09-03 14:00:00+02:00|['Michael White' 'Ginger Hoagland' 'Bret Adams']|502.0|Lunch|False|252004.0|252004.0|252004.0
15|N8DOG58MW238BHA9|2018-12-25|KFR2TAYXZSVCHAA2|36MFTZOYMTAJP1RK|2018-12-20 12:00:00+01:00|['Ginger Hoagland' 'Cheryl Feaster' 'Glenn Gould' 'Bret Adams']|829.0|Lunch|False|687241.0|687241.0|687241.0
16|DPDV9UGF0SUCYTGW|2017-05-25|6YV61SH7W9ECUZP0|36MFTZOYMTAJP1RK|2017-05-24 22:00:00+02:00|['Michael White']|708.0|Dinner|False|501264.0|501264.0|501264.0
17|KNF3E3QTOQ22J269|2018-06-20|737T2U7604ABDFDF|36MFTZOYMTAJP1RK|2018-06-15 07:00:00+02:00|['Glenn Gould' 'Cheryl Feaster' 'Ginger Hoagland' 'Amanda Knowles']|475.0|Breakfast|False|225625.0|225625.0|225625.0
18|LEED1HY47M8BR5VL|2017-10-22|I22P10IQQD06MO45|36MFTZOYMTAJP1RK|2017-10-22 14:00:00+02:00|['Glenn Gould']|27.0|Lunch|False|729.0|729.0|729.0
